user_id,activity,timestamp,acc_x,acc_y,acc_z
1,Standing,1499193331285,-7.767,0.015,0.183
1,Standing,1499193331334,-7.746,0.031,0.14
1,Standing,1499193331382,-7.761,0.025,0.142
1,Standing,1499193331431,-7.775,0.031,0.148
1,Standing,1499193331480,-7.794,0.05,0.171
1,Standing,1499193331529,-7.792,0.037,0.121
1,Standing,1499193331577,-7.771,0.06,0.158
1,Standing,1499193331628,-7.763,0.046,0.179
1,Standing,1499193331675,-7.775,0.041,0.173
1,Standing,1499193331724,-7.781,0.06,0.115
1,Standing,1499193331773,-7.814,0.056,0.156
1,Standing,1499193331821,-7.808,0.058,0.183
1,Standing,1499193331871,-7.763,0.035,0.134
1,Standing,1499193331919,-7.779,0.015,0.197
1,Standing,1499193331969,-7.789,0.013,0.099
1,Standing,1499193332017,-7.796,0.054,0.082
1,Standing,1499193332067,-7.791,0.039,0.117
1,Standing,1499193332115,-7.779,-0.033,0.156
1,Standing,1499193332165,-7.789,0.044,0.115
1,Standing,1499193332212,-7.785,0.046,0.109
1,Standing,1499193332261,-7.746,0.027,0.15
1,Standing,1499193332310,-7.789,0.078,0.156
1,Standing,1499193332359,-7.802,0.054,0.113
1,Standing,1499193332407,-7.832,0.027,0.148
1,Standing,1499193332457,-7.789,0.046,0.14
1,Standing,1499193332505,-7.792,0.058,0.13
1,Standing,1499193332554,-7.798,0.021,0.125
1,Standing,1499193332604,-7.783,0.039,0.164
1,Standing,1499193332652,-7.806,0.058,0.105
1,Standing,1499193332701,-7.814,0.015,0.125
1,Standing,1499193332750,-7.757,0.021,0.138
1,Standing,1499193332798,-7.802,0.025,0.15
1,Standing,1499193332848,-7.791,0.033,0.167
1,Standing,1499193332896,-7.746,0.027,0.158
1,Standing,1499193332944,-7.796,0.066,0.181
1,Standing,1499193332993,-7.767,0.052,0.181
1,Standing,1499193333042,-7.798,0.019,0.171
1,Standing,1499193333092,-7.771,0.017,0.162
1,Standing,1499193333140,-7.787,0.042,0.111
1,Standing,1499193333189,-7.806,0.06,0.111
1,Standing,1499193333239,-7.8,0.072,0.173
1,Standing,1499193333286,-7.767,0.019,0.115
1,Standing,1499193333336,-7.75,0.056,0.197
1,Standing,1499193333384,-7.8,-0.011,0.167
1,Standing,1499193333433,-7.759,0.046,0.142
1,Standing,1499193333481,-7.808,0.013,0.167
1,Standing,1499193333531,-7.765,0.029,0.13
1,Standing,1499193333580,-7.791,0.025,0.117
1,Standing,1499193333629,-7.816,0.06,0.121
1,Standing,1499193333677,-7.783,0.041,0.148
1,Standing,1499193333726,-7.781,0.052,0.099
1,Standing,1499193333775,-7.767,0.033,0.111
1,Standing,1499193333824,-7.785,0.052,0.117
1,Standing,1499193333874,-7.787,0.013,0.13
1,Standing,1499193333921,-7.783,0.029,0.14
1,Standing,1499193333970,-7.806,0.06,0.103
1,Standing,1499193334019,-7.74,0.042,0.113
1,Standing,1499193334068,-7.791,0.015,0.152
1,Standing,1499193334117,-7.81,0.035,0.154
1,Standing,1499193334166,-7.808,0.046,0.13
1,Standing,1499193334214,-7.75,0.029,0.15
1,Standing,1499193334264,-7.771,0.064,0.171
1,Standing,1499193334312,-7.769,0.06,0.152
1,Standing,1499193334361,-7.82,0.001,0.173
1,Standing,1499193334412,-7.785,0.037,0.132
1,Standing,1499193334458,-7.8,0.029,0.187
1,Standing,1499193334507,-7.771,0.058,0.107
